#N S_wide S_narrow rel_err_wide rel_err_narrow
93600 0.9459347451 0.9466880342 0.0015008295 0.0022983682
94100 0.9556828649 0.9430260361 0.0118215731 -0.0015787429
94600 0.9379908548 0.9445428118 -0.0069097008 0.0000271313
95100 0.9491094659 0.9472134595 0.0048620396 0.0028546581
95600 0.9521794869 0.9441161088 0.0081123998 -0.0004246372
96100 0.9465172112 0.9401664932 0.0021175107 -0.0046062610
96600 0.9432283454 0.9442805383 -0.0013645495 -0.0002505487
97100 0.9334652267 0.9440396498 -0.0117011733 -0.0005055875
97600 0.9400389038 0.9451972336 -0.0047413453 0.0007199951
98100 0.9401037887 0.9472859327 -0.0046726489 0.0029313885
98600 0.9434218744 0.9428625761 -0.0011596523 -0.0017518049
99100 0.9528870487 0.9453708375 0.0088615252 0.0009037968
99600 0.9360972270 0.9434111446 -0.0089145640 -0.0011710124
