#type size quick intro
0 69400 18935 16300
0 69500 18607 15835
0 69600 17912 15807
0 69700 17902 16681
0 69800 18012 15790
0 69900 17807 15425
0 70000 18046 16541
0 70100 27123 16690
0 70200 21183 16063
0 70300 18200 15678
0 70400 17667 15161
0 70500 17769 15399
0 70600 18872 15442
0 70700 19342 16134
0 70800 17892 15721
0 70900 17610 15113
0 71000 18033 16799
0 71100 18394 15677
0 71200 17966 15843
0 71300 17649 15529
0 71400 17999 15900
0 71500 18360 15353
0 71600 17939 15674
0 71700 17762 15311
0 71800 17842 15358
0 71900 18748 16850
0 72000 20033 16355
0 72100 18816 15883
0 72200 19107 15739
0 72300 18277 15386
0 72400 17646 15826
0 72500 18362 15752
0 72600 18127 15740
0 72700 18212 15565
0 72800 18414 15940
0 72900 18531 15932
0 73000 18800 15675
0 73100 18231 15884
0 73200 18398 15715
0 73300 18292 15677
0 73400 18520 15886
0 73500 18274 16504
0 73600 19100 17213
0 73700 20102 16789
0 73800 19642 16584
0 73900 18769 16396
0 74000 18477 16503
0 74100 18300 16525
0 74200 18743 16416
0 74300 18892 19195
0 74400 22469 17024
0 74500 19781 16224
0 74600 20069 16149
0 74700 19784 16019
0 74800 18291 16633
0 74900 18824 16466
0 75000 20336 17658
0 75100 18930 16158
0 75200 18420 18327
0 75300 22438 17917
0 75400 18973 18185
0 75500 22491 20007
0 75600 20990 21559
0 75700 21444 16215
0 75800 18906 16761
0 75900 19313 17835
0 76000 22026 18924
0 76100 21701 17874
0 76200 19609 18078
0 76300 19528 17012
0 76400 20887 17155
0 76500 20390 18291
0 76600 20702 16340
0 76700 19481 18459
0 76800 21985 18312
0 76900 19589 16807
0 77000 20468 17590
0 77100 19479 16891
0 77200 18748 16945
0 77300 19079 16775
0 77400 19107 17706
0 77500 19561 18002
0 77600 19777 19613
0 77700 20891 18413
0 77800 19992 16812
0 77900 19681 17624
0 78000 19773 16496
0 78100 19258 17450
0 78200 23780 16538
0 78300 19203 19169
0 78400 22132 21344
0 78500 19709 16962
0 78600 19862 18695
0 78700 19235 17205
0 78800 19950 17221
0 78900 19671 16926
0 79000 20169 25387
0 79100 32431 19017
0 79200 22064 18791
0 79300 22642 17160
0 79400 20142 17165
0 79500 26335 20310
0 79600 19545 17017
0 79700 19913 17464
0 79800 22139 22475
0 79900 22986 17680
0 80000 20221 18459
0 80100 21452 17254
0 80200 20388 17496
0 80300 19795 17120
0 80400 19987 17857
0 80500 20806 18373
0 80600 20817 17341
0 80700 21279 18935
0 80800 22206 19279
0 80900 21603 17915
0 81000 20663 18846
0 81100 21652 19106
0 81200 21246 17713
0 81300 21286 18075
0 81400 21125 17467
0 81500 20571 19760
0 81600 21839 19054
0 81700 20826 17980
0 81800 20406 17786
0 81900 33523 19615
0 82000 21294 17889
0 82100 20828 18653
0 82200 21327 20287
0 82300 21372 18180
0 82400 20923 17622
0 82500 21215 18435
0 82600 20539 17796
0 82700 20699 18065
0 82800 20838 18220
0 82900 23428 18329
0 83000 20911 17826
0 83100 20446 17846
0 83200 20516 17779
0 83300 20580 19768
0 83400 22358 18719
0 83500 22795 20083
0 83600 22695 20047
0 83700 21913 18578
0 83800 21883 18755
0 83900 23981 20640
0 84000 21244 18252
0 84100 21281 18076
0 84200 21318 18802
0 84300 23571 20279
0 84400 22079 18636
0 84500 22146 18085
0 84600 25039 17980
0 84700 21073 18144
0 84800 21163 18287
0 84900 22309 19589
0 85000 23500 19038
0 85100 21403 18229
0 85200 21069 18345
0 85300 21617 18636
0 85400 21713 18749
0 85500 22035 18386
0 85600 21973 18844
0 85700 22581 18681
0 85800 22104 19016
0 85900 22194 19254
0 86000 21264 19019
0 86100 21731 18626
0 86200 22117 18597
0 86300 23691 21294
0 86400 24093 19377
0 86500 22006 19090
0 86600 22633 19340
0 86700 21948 19566
0 86800 22685 18930
0 86900 21949 19252
0 87000 21894 18600
0 87100 21569 19497
0 87200 22408 18969
0 87300 23289 19358
0 87400 22141 18738
0 87500 21768 19899
0 87600 22147 19234
0 87700 23896 19601
0 87800 22259 19306
0 87900 21909 19065
0 88000 21944 18796
0 88100 21725 19180
0 88200 21970 19761
0 88300 22776 20692
0 88400 24861 19526
0 88500 22260 21640
0 88600 24236 21228
0 88700 25493 21765
0 88800 24956 20849
0 88900 25216 20686
0 89000 23393 19860
0 89100 22154 19965
0 89200 30414 19730
0 89300 22154 19266
0 89400 21920 20746
0 89500 22219 19570
0 89600 26848 20818
0 89700 36749 19796
0 89800 23557 22766
0 89900 22586 19490
0 90000 22239 19341
0 90100 22899 20315
0 90200 24008 20614
0 90300 23151 20623
0 90400 24335 19814
0 90500 23424 20046
0 90600 26132 20953
0 90700 24566 20525
0 90800 24085 21067
0 90900 24225 21860
0 91000 24328 21207
0 91100 24144 21008
0 91200 45498 19674
0 91300 22523 20729
0 91400 22954 20639
0 91500 24103 20626
0 91600 23836 21032
0 91700 23896 21508
0 91800 24019 19652
0 91900 24376 20166
0 92000 23824 20404
0 92100 23941 20584
0 92200 24653 21252
0 92300 24522 21200
0 92400 24846 21957
0 92500 25350 22092
0 92600 25198 21784
0 92700 25319 20305
0 92800 23402 20078
0 92900 23486 20885
0 93000 23862 20819
0 93100 24351 20230
0 93200 23538 20650
0 93300 23854 20055
0 93400 23032 20768
0 93500 23375 20501
0 93600 23273 20547
0 93700 23973 20408
0 93800 29121 21831
0 93900 23610 20274
0 94000 23359 20059
0 94100 24111 20870
0 94200 24515 21015
0 94300 23843 20644
0 94400 24431 20467
0 94500 24236 20845
0 94600 24438 20813
0 94700 23683 21488
0 94800 23506 20753
0 94900 24182 21917
0 95000 24156 21207
0 95100 23611 20791
0 95200 24210 20830
0 95300 23898 22404
0 95400 23811 20504
0 95500 23735 20492
0 95600 24015 20777
0 95700 24721 20833
0 95800 24426 20903
0 95900 23881 21039
0 96000 23886 21691
0 96100 24294 20755
0 96200 24320 20816
0 96300 23838 20659
0 96400 24584 22077
0 96500 25459 21369
0 96600 24606 20924
0 96700 23936 21964
0 96800 25711 21395
0 96900 24881 21626
0 97000 24676 20876
0 97100 24409 22251
0 97200 24217 21206
0 97300 24237 20616
0 97400 24305 21458
0 97500 24772 21447
0 97600 24943 21148
0 97700 24166 21158
0 97800 24837 21708
0 97900 25084 21226
0 98000 25065 21217
0 98100 25104 22109
0 98200 25613 21449
0 98300 24332 21638
0 98400 25411 21471
0 98500 25350 22053
0 98600 25217 21615
0 98700 25150 21470
0 98800 24605 21746
0 98900 25374 21672
0 99000 24443 21418
0 99100 25405 21209
0 99200 24547 21267
0 99300 24846 21394
0 99400 25064 22157
0 99500 25352 21522
0 99600 25185 22359
0 99700 25035 21876
0 99800 25474 21829
0 99900 25245 22430
0 100000 27405 22190
1 500 51 28
1 600 58 32
1 700 73 43
1 800 84 44
1 900 97 80
1 1000 112 65
1 1100 185 69
1 1200 123 72
1 1300 130 106
1 1400 197 96
1 1500 152 93
1 1600 163 101
1 1700 173 110
1 1800 187 129
1 1900 216 168
1 2000 202 160
1 2100 321 134
1 2200 235 141
1 2300 240 148
1 2400 275 220
1 2500 281 161
1 2600 274 164
1 2700 322 234
1 2800 376 288
1 2900 450 307
1 3000 494 304
1 3100 430 286
1 3200 491 226
1 3300 447 267
1 3400 420 377
1 3500 693 413
1 3600 559 379
1 3700 748 427
1 3800 631 366
1 3900 688 384
1 4000 621 389
1 4100 619 289
1 4200 453 278
1 4300 460 313
1 4400 478 297
1 4500 481 333
1 4600 504 306
1 4700 503 309
1 4800 504 319
1 4900 533 327
1 5000 650 372
1 5100 640 419
1 5200 576 381
1 5300 582 368
1 5400 598 360
1 5500 614 394
1 5600 614 451
1 5700 633 392
1 5800 661 400
1 5900 657 412
1 6000 666 425
1 6100 925 433
1 6200 709 440
1 6300 747 441
1 6400 715 456
1 6500 805 471
1 6600 733 595
1 6700 842 568
1 6800 802 495
1 6900 791 654
1 7000 843 489
1 7100 812 543
1 7200 808 496
1 7300 1400 545
1 7400 822 528
1 7500 828 522
1 7600 835 631
1 7700 905 546
1 7800 890 554
1 7900 896 584
1 8000 1003 563
1 8100 916 588
1 8200 908 576
1 8300 945 617
1 8400 927 617
1 8500 947 596
1 8600 978 611
1 8700 982 613
1 8800 985 626
1 8900 986 645
1 9000 1037 674
1 9100 1038 673
1 9200 1020 666
1 9300 1075 689
1 9400 1064 801
1 9500 1057 695
1 9600 1281 684
1 9700 1100 719
1 9800 1110 715
1 9900 1107 729
1 10000 1123 751
1 10100 1134 1009
1 10200 1140 736
1 10300 1167 728
1 10400 1186 764
1 10500 1188 761
1 10600 1198 826
1 10700 1233 800
1 10800 1212 774
1 10900 1327 791
1 11000 1482 804
1 11100 1269 1339
1 11200 1645 817
1 11300 1283 884
1 11400 1300 914
1 11500 1297 1066
1 11600 1314 834
1 11700 1330 851
1 11800 1601 849
1 11900 1339 873
1 12000 1383 860
1 12100 1374 868
1 12200 1376 910
1 12300 1389 897
1 12400 1371 965
1 12500 1401 892
1 12600 1422 912
1 12700 1437 917
1 12800 1440 959
1 12900 1748 943
1 13000 1515 923
1 13100 1701 995
1 13200 1487 950
1 13300 1669 1044
1 13400 1504 972
1 13500 1574 964
1 13600 1538 997
1 13700 1629 1150
1 13800 1612 1052
