#type size merge hybrid_5 hybrid_10 hybrid_20 hybrid_30 hybrid_50
0 28800 19338 15345 13934 13065 12537 12586
0 28900 19736 15627 13942 13142 12607 12894
0 29000 19526 15347 14087 13068 14261 12689
0 29100 19532 15269 14306 13269 12749 12699
0 29200 19451 15425 14022 13159 14499 14555
0 29300 22987 15474 14046 13133 12925 12776
0 29400 21720 15411 14435 13330 12926 12990
0 29500 19772 15753 14387 13395 12907 12985
0 29600 19858 15593 14347 13289 13196 12942
0 29700 19958 15693 14706 13500 13053 13327
0 29800 19938 15627 14414 13654 13118 13249
0 29900 20222 15848 14372 13654 13254 13237
0 30000 20415 15916 14493 13476 13508 13144
0 30100 20260 16015 14967 14705 13262 13176
0 30200 20298 15982 14744 13954 13432 13356
0 30300 20217 15855 14681 13692 13425 13289
0 30400 20520 16207 14675 13744 13408 13387
0 30500 20852 16318 15230 13706 13450 13461
0 30600 20651 16014 14784 13745 13360 13843
0 30700 20631 16093 14821 13840 13851 13487
0 30800 21188 16283 15314 13960 13865 13513
0 30900 20863 17136 15405 14216 13591 13804
0 31000 20938 16505 14953 14384 13755 13679
0 31100 21103 16326 15303 14076 13833 13648
0 31200 21270 16959 15080 14385 13843 13708
0 31300 21232 16343 15412 14115 13974 13835
0 31400 21064 16636 15032 14377 14030 14144
0 31500 21586 16489 15119 16833 16575 14960
0 31600 21329 17353 15278 14286 14240 14052
0 31700 21775 16749 15453 14421 14355 14086
0 31800 21306 16896 15374 14874 14382 14300
0 31900 21605 16797 15674 14940 14991 14812
0 32000 22423 17645 16011 15059 14668 14393
0 32100 21792 16814 15915 15291 14771 15072
0 32200 22077 17517 15919 14558 14592 14215
0 32300 21759 17143 15707 14548 14736 14364
0 32400 21804 17168 15700 14711 14733 14509
0 32500 22422 17318 15608 14711 14951 14667
0 32600 22347 16933 15826 14844 14893 14672
0 32700 22112 17203 15811 14772 15146 14487
0 32800 22798 17497 15867 14900 15147 14574
0 32900 22272 17754 15844 14924 15505 14719
0 33000 22729 17418 16269 14982 15003 14578
0 33100 22508 17182 16043 15731 15063 14835
0 33200 22430 17659 16565 15169 15097 14776
0 33300 22389 17816 16013 15086 15322 14848
0 33400 22584 17375 16146 15130 15389 15019
0 33500 22849 18087 16637 15123 15432 14904
0 33600 22803 17636 16135 15540 15252 15075
0 33700 22748 17733 16296 15413 15335 15052
0 33800 23235 17965 16704 15544 15662 15427
0 33900 23330 17739 16254 15438 15317 15266
0 34000 23574 17816 16492 15363 15444 15054
0 34100 23190 17983 16799 15408 15474 15143
0 34200 23183 18266 16804 15738 15571 15306
0 34300 23712 18089 16751 15600 15636 15276
0 34400 23491 17972 16530 15679 15747 15320
0 34500 23423 18543 16539 15729 16020 15763
0 34600 23531 18385 16825 15704 15826 15618
0 34700 23492 18120 16748 15687 15712 15793
0 34800 23532 18287 17169 15780 16011 15466
0 34900 23834 19023 17206 15793 15915 15564
0 35000 23744 18363 16896 16605 15898 15872
0 35100 24142 18308 17053 16198 16139 15795
0 35200 24201 18478 17444 16216 16467 15930
0 35300 23960 18548 17260 16196 16160 16322
0 35400 24362 18862 17288 16385 16383 15999
0 35500 24204 18568 17429 16300 16299 15994
0 35600 24476 18564 17277 16156 16273 16026
0 35700 24790 19087 17325 16728 16406 16273
0 35800 24436 18977 17417 16185 16518 16258
0 35900 24544 19136 17311 16259 16314 16326
0 36000 24507 19314 17763 16529 16625 16328
0 36100 24710 19002 17534 16342 16740 16250
0 36200 25066 18848 17681 16795 16671 16315
0 36300 24923 19501 17767 16980 16812 16532
0 36400 25130 19143 17637 16501 16930 16461
0 36500 25113 19091 17841 16890 17442 16637
0 36600 25177 19448 17507 16927 16767 16549
0 36700 26969 19414 17945 17178 16741 16757
0 36800 25365 19432 17623 16880 16832 16654
0 36900 25794 19303 18495 17073 16758 17022
0 37000 25169 19372 18047 17601 17109 16776
0 37100 25638 19316 17953 16864 17053 16642
0 37200 25627 19784 18040 16876 16883 16919
0 37300 26120 19465 18324 17044 17075 16864
0 37400 25578 19797 18393 17082 17016 17188
0 37500 25638 19707 18480 17307 17240 17014
0 37600 25882 19687 18518 17215 17213 17016
0 37700 25610 19721 18206 17036 17358 17465
0 37800 26627 19835 18148 18466 17487 17240
0 37900 26194 20118 18563 17451 17487 17147
0 38000 26085 19992 18142 17501 17565 17443
0 38100 26215 20280 18598 17480 17407 17614
0 38200 26601 19965 18563 17410 17464 17394
0 38300 26166 19922 18532 17906 17585 17526
0 38400 26317 20230 18431 17536 17526 17814
0 38500 26466 20218 18612 17582 17868 17482
0 38600 26319 20369 18873 17684 17697 18890
0 38700 26518 20139 18618 17526 18059 17835
